Common name,Scientific name,Status,No.,No. Back
South Moluccan Pitta,Erythropitta rubrinucha,,7,0
Papuan Pitta,Erythropitta macklotii,,29,4
Louisiade Pitta,Erythropitta meeki,,1,0
Bismarck Pitta,Erythropitta novaehibernicae,,5,0
Graceful Pitta,Erythropitta venusta,,5,0
Garnet Pitta,Erythropitta granatina,,52,7
Black-crowned Pitta,Erythropitta ussheri,,71,11
Blue-banded Pitta,Erythropitta arquata,,30,3
African Pitta,Pitta angolensis,,15,1
Green-breasted Pitta,Pitta reichenowi,,9,1
Indian Pitta,Pitta brachyura,,81,11
Blue-winged Pitta,Pitta moluccensis,,89,21
Mangrove Pitta,Pitta megarhyncha,,52,6
Hooded Pitta,Pitta sordida,,159,27
Fairy Pitta,Pitta nympha,,32,7
Noisy Pitta,Pitta versicolor,,37,30
Ivory-breasted Pitta,Pitta maxima,,67,34
Ornate Pitta,Pitta concinna,,33,1
Elegant Pitta,Pitta elegans,,25,4
Banda Sea Pitta,Pitta vigorsii,,10,0
Black-faced Pitta,Pitta anerythra,,17,0
Azure-breasted Pitta,Pitta steerii,,29,8
Superb Pitta,Pitta superba,,3,0
Rainbow Pitta,Pitta iris,,8,5
Tawny-throated Leaftosser,Sclerurus mexicanus,,36,5
Dusky Leaftosser,Sclerurus obscurior,,142,11
Short-billed Leaftosser,Sclerurus rufigularis,,63,7
Scaly-throated Leaftosser,Sclerurus guatemalensis,,51,6
Black-tailed Leaftosser,Sclerurus caudacutus,,77,44
Grey-throated Leaftosser,Sclerurus albigularis,,84,8
Rufous-breasted Leaftosser,Sclerurus scansor,,150,27
Coastal Miner,Geositta peruviana,,3,0
Slender-billed Miner,Geositta tenuirostris,,18,0
Common Miner,Geositta cunicularia,,37,2
Puna Miner,Geositta punensis,,19,0
Campo Miner,Geositta poeciloptera,,21,0
Thick-billed Miner,Geositta crassirostris,,11,0
Rufous-banded Miner,Geositta rufipennis,,77,9
Greyish Miner,Geositta maritima,,7,0
Short-billed Miner,Geositta antarctica,,21,0
Dark-winged Miner,Geositta saxicolina,,10,0
Creamy-rumped Miner,Geositta isabellina,,13,0
Spot-throated Woodcreeper,Certhiasomus stictolaemus,,28,1
Olivaceous Woodcreeper,Sittasomus griseicapillus,,402,235
Long-tailed Woodcreeper,Deconychura longicauda,,91,51
Tyrannine Woodcreeper,Dendrocincla tyrannina,,62,8
White-chinned Woodcreeper,Dendrocincla merula,,42,8
Ruddy Woodcreeper,Dendrocincla homochroa,,17,1
Tawny-winged Woodcreeper,Dendrocincla anabatina,,29,1
Plain-brown Woodcreeper,Dendrocincla fuliginosa,,248,80
Plain-winged Woodcreeper,Dendrocincla turdina,,104,30
Wedge-billed Woodcreeper,Glyphorynchus spirurus,,211,142
Cinnamon-throated Woodcreeper,Dendrexetastes rufigula,,119,93
Long-billed Woodcreeper,Nasica longirostris,,93,36
Northern Barred Woodcreeper,Dendrocolaptes sanctithomae,,64,22
Amazonian Barred Woodcreeper,Dendrocolaptes certhia,,183,124
Black-banded Woodcreeper,Dendrocolaptes picumnus,,146,54
Hoffmanns's Woodcreeper,Dendrocolaptes hoffmannsi,,10,0
Planalto Woodcreeper,Dendrocolaptes platyrostris,,124,35
Bar-bellied Woodcreeper,Hylexetastes stresemanni,,16,8
Red-billed Woodcreeper,Hylexetastes perrotii,,20,4
Uniform Woodcreeper,Hylexetastes uniformis,,30,2
Brigida's Woodcreeper,Hylexetastes brigidai,,16,2
Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,,198,44
Moustached Woodcreeper,Xiphocolaptes falcirostris,,10,2
White-throated Woodcreeper,Xiphocolaptes albicollis,,69,19
Great Rufous Woodcreeper,Xiphocolaptes major,,39,8
Striped Woodcreeper,Xiphorhynchus obsoletus,,87,24
Lesser Woodcreeper,Xiphorhynchus fuscus,,187,121
Ceara Woodcreeper,Xiphorhynchus atlanticus,,38,5
Chestnut-rumped Woodcreeper,Xiphorhynchus pardalotus,,54,22
Ocellated Woodcreeper,Xiphorhynchus ocellatus,,20,1
Tschudi's Woodcreeper,Xiphorhynchus chunchotambo,,60,25
Elegant Woodcreeper,Xiphorhynchus elegans,,91,112
Spix's Woodcreeper,Xiphorhynchus spixii,,30,6
Buff-throated Woodcreeper,Xiphorhynchus guttatus,,433,901
Cocoa Woodcreeper,Xiphorhynchus susurrans,,199,291
Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,,101,101
Black-striped Woodcreeper,Xiphorhynchus lachrymosus,,55,61
Spotted Woodcreeper,Xiphorhynchus erythropygius,,74,26
Olive-backed Woodcreeper,Xiphorhynchus triangularis,,48,9
Straight-billed Woodcreeper,Dendroplex picus,,231,128
Zimmer's Woodcreeper,Dendroplex kienerii,,13,1
Red-billed Scythebill,Campylorhamphus trochilirostris,,227,70
Black-billed Scythebill,Campylorhamphus falcularius,,129,14
Curve-billed Scythebill,Campylorhamphus procurvoides,,76,3
Brown-billed Scythebill,Campylorhamphus pusillus,,88,7
Greater Scythebill,Drymotoxeres pucheranii,,8,0
Scimitar-billed Woodcreeper,Drymornis bridgesii,,54,6
White-striped Woodcreeper,Lepidocolaptes leucogaster,,45,34
Streak-headed Woodcreeper,Lepidocolaptes souleyetii,,130,76
Narrow-billed Woodcreeper,Lepidocolaptes angustirostris,,145,92
Spot-crowned Woodcreeper,Lepidocolaptes affinis,,36,14
Montane Woodcreeper,Lepidocolaptes lacrymiger,,77,33
Scaled Woodcreeper,Lepidocolaptes squamatus,,39,14
Scalloped Woodcreeper,Lepidocolaptes falcinellus,,38,10
Guianan Woodcreeper,Lepidocolaptes albolineatus,,23,8
Duida Woodcreeper,Lepidocolaptes duidae,,45,6
Inambari Woodcreeper,Lepidocolaptes fatimalimae,,22,17
Dusky-capped Woodcreeper,Lepidocolaptes fuscicapillus,,44,16
Slender-billed Xenops,Xenops tenuirostris,,15,1
Plain Xenops,Xenops minutus,,259,63
Streaked Xenops,Xenops rutilans,,162,40
Point-tailed Palmcreeper,Berlepschia rikeri,,74,12
Rufous-tailed Xenops,Microxenops milleri,,20,8
White-throated Treerunner,Pygarrhichas albogularis,,43,4
Straight-billed Earthcreeper,Ochetorhynchus ruficaudus,,19,1
Rock Earthcreeper,Ochetorhynchus andaecola,,21,5
Band-tailed Earthcreeper,Ochetorhynchus phoenicurus,,16,0
Crag Chilia,Ochetorhynchus melanurus,,33,0
Buffy Tuftedcheek,Pseudocolaptes lawrencii,,9,0
Pacific Tuftedcheek,Pseudocolaptes johnsoni,,31,2
Streaked Tuftedcheek,Pseudocolaptes boissonneautii,,54,14
Rusty-winged Barbtail,Premnornis guttuliger,,20,1
Bolivian Earthcreeper,Tarphonomus harterti,,23,2
Chaco Earthcreeper,Tarphonomus certhioides,,58,21
Band-tailed Hornero,Furnarius figulus,,81,35
Pale-legged Hornero,Furnarius leucopus,,77,48
Pacific Hornero,Furnarius cinnamomeus,,69,148
Caribbean Hornero,Furnarius longirostris,,27,7
Bay Hornero,Furnarius torridus,,5,1
Lesser Hornero,Furnarius minor,,24,2
Rufous Hornero,Furnarius rufus,,179,583
Crested Hornero,Furnarius cristatus,,27,2
Sharp-tailed Streamcreeper,Lochmias nematura,,154,23
Wren-like Rushbird,Phleocryptes melanops,,138,42
Curve-billed Reedhaunter,Limnornis curvirostris,,45,1
Striated Earthcreeper,Geocerthia serrana,,20,0
Scale-throated Earthcreeper,Upucerthia dumetaria,,43,2
Patagonian Forest Earthcreeper,Upucerthia saturatior,,14,0
White-throated Earthcreeper,Upucerthia albigula,,8,0
Buff-breasted Earthcreeper,Upucerthia validirostris,,41,2
Long-tailed Cinclodes,Cinclodes pabsti,,23,1
Blackish Cinclodes,Cinclodes antarcticus,,4,2
Buff-winged Cinclodes,Cinclodes fuscus,,147,2
Cordoba Cinclodes,Cinclodes comechingonus,,2,0
Chestnut-winged Cinclodes,Cinclodes albidiventris,,25,1
Cream-winged Cinclodes,Cinclodes albiventris,,42,7
Olrog's Cinclodes,Cinclodes olrogi,,8,0
Grey-flanked Cinclodes,Cinclodes oustaleti,,16,3
Stout-billed Cinclodes,Cinclodes excelsior,,27,2
Royal Cinclodes,Cinclodes aricomae,,9,0
White-bellied Cinclodes,Cinclodes palliatus,,11,1
White-winged Cinclodes,Cinclodes atacamensis,,10,0
Dark-bellied Cinclodes,Cinclodes patagonicus,,42,1
Peruvian Seaside Cinclodes,Cinclodes taczanowskii,,10,0
Chilean Seaside Cinclodes,Cinclodes nigrofumosus,,8,0
Bamboo Foliage-gleaner,Anabazenops dorsalis,,54,9
White-collared Foliage-gleaner,Anabazenops fuscus,,103,87
Great Xenops,Megaxenops parnaguae,,59,5
Pale-browed Treehunter,Cichlocolaptes leucophrus,,107,33
Cryptic Treehunter,Cichlocolaptes mazarbarnetti,,17,0
Sharp-billed Treehunter,Heliobletus contaminatus,,52,13
Slaty-winged Foliage-gleaner,Philydor fuscipenne,,23,1
Rufous-rumped Foliage-gleaner,Philydor erythrocercum,,57,22
Alagoas Foliage-gleaner,Philydor novaesi,,18,0
Black-capped Foliage-gleaner,Philydor atricapillus,,98,31
Cinnamon-rumped Foliage-gleaner,Philydor pyrrhodes,,63,15
Montane Foliage-gleaner,Anabacerthia striaticollis,,91,22
Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,,72,15
Rufous-tailed Foliage-gleaner,Anabacerthia ruficaudata,,21,9
White-browed Foliage-gleaner,Anabacerthia amaurotis,,28,3
Ochre-breasted Foliage-gleaner,Anabacerthia lichtensteini,,65,17
Buff-browed Foliage-gleaner,Syndactyla rufosuperciliata,,249,110
Planalto Foliage-gleaner,Syndactyla dimidiata,,20,0
Tepui Foliage-gleaner,Syndactyla roraimae,,13,0
Lineated Foliage-gleaner,Syndactyla subalaris,,119,53
Rufous-necked Foliage-gleaner,Syndactyla ruficollis,,30,10
Guttulate Foliage-gleaner,Syndactyla guttulata,,14,0
Peruvian Recurvebill,Syndactyla ucayalae,,58,15
Bolivian Recurvebill,Syndactyla striata,,14,2
Chestnut-winged Hookbill,Ancistrops strigilatus,,33,40
Buff-fronted Foliage-gleaner,Dendroma rufa,,111,47
Chestnut-winged Foliage-gleaner,Dendroma erythroptera,,37,14
Canebrake Groundcreeper,Clibanornis dendrocolaptoides,,62,4
Henna-capped Foliage-gleaner,Clibanornis rectirostris,,66,18
Henna-hooded Foliage-gleaner,Clibanornis erythrocephalus,,40,25
Ruddy Foliage-gleaner,Clibanornis rubiginosus,,139,95
Santa Marta Foliage-gleaner,Clibanornis rufipectus,,29,2
Uniform Treehunter,Thripadectes ignobilis,,36,8
Flammulated Treehunter,Thripadectes flammulatus,,51,6
Peruvian Treehunter,Thripadectes scrutator,,13,1
Streak-breasted Treehunter,Thripadectes rufobrunneus,,20,2
Black-billed Treehunter,Thripadectes melanorhynchus,,59,10
Striped Treehunter,Thripadectes holostictus,,90,20
Streak-capped Treehunter,Thripadectes virgaticeps,,98,9
Chestnut-crowned Foliage-gleaner,Automolus rufipileatus,,125,88
Brown-rumped Foliage-gleaner,Automolus melanopezus,,39,6
Buff-throated Foliage-gleaner,Automolus ochrolaemus,,292,154
Chiriqui Foliage-gleaner,Automolus exsertus,,26,0
Eastern Woodhaunter,Automolus subulatus,,98,64
Western Woodhaunter,Automolus virgatus,,79,24
Olive-backed Foliage-gleaner,Automolus infuscatus,,125,76
Para Foliage-gleaner,Automolus paraensis,,56,12
Pernambuco Foliage-gleaner,Automolus lammi,,36,3
White-eyed Foliage-gleaner,Automolus leucophthalmus,,203,149
Spotted Barbtail,Premnoplex brunnescens,,106,25
White-throated Barbtail,Premnoplex tatei,,6,0
Beautiful Treerunner,Margarornis bellulus,,1,0
Ruddy Treerunner,Margarornis rubiginosus,,11,0
Star-chested Treerunner,Margarornis stellatus,,15,1
Pearled Treerunner,Margarornis squamiger,,57,7
Thorn-tailed Rayadito,Aphrastura spinicauda,,98,22
Masafuera Rayadito,Aphrastura masafuerae,,0,0
Des Murs's Wiretail,Sylviorthorhynchus desmurii,,56,2
Tawny Tit-Spinetail,Sylviorthorhynchus yanacensis,,19,0
Brown-capped Tit-Spinetail,Leptasthenura fuliginiceps,,20,4
Tufted Tit-Spinetail,Leptasthenura platensis,,40,2
Plain-mantled Tit-Spinetail,Leptasthenura aegithaloides,,82,12
Striolated Tit-Spinetail,Leptasthenura striolata,,28,0
Rusty-crowned Tit-Spinetail,Leptasthenura pileata,,18,0
White-browed Tit-Spinetail,Leptasthenura xenothorax,,22,1
Streak-backed Tit-Spinetail,Leptasthenura striata,,9,2
Andean Tit-Spinetail,Leptasthenura andicola,,33,2
Araucaria Tit-Spinetail,Leptasthenura setaria,,68,11
Rufous-fronted Thornbird,Phacellodomus rufifrons,,104,42
Plain Thornbird,Phacellodomus inornatus,,37,15
Streak-fronted Thornbird,Phacellodomus striaticeps,,51,13
Little Thornbird,Phacellodomus sibilatrix,,33,4
Chestnut-backed Thornbird,Phacellodomus dorsalis,,19,0
Spot-breasted Thornbird,Phacellodomus maculipectus,,27,5
Freckle-breasted Thornbird,Phacellodomus striaticollis,,36,9
Greater Thornbird,Phacellodomus ruber,,109,95
Orange-eyed Thornbird,Phacellodomus erythrophthalmus,,64,10
Orange-breasted Thornbird,Phacellodomus ferrugineigula,,53,9
White-browed Spinetail,Hellmayrea gularis,,76,18
Firewood-gatherer,Anumbius annumbi,,70,23
Lark-like Brushrunner,Coryphistera alaudina,,27,5
Rusty-vented Canastero,Asthenes dorbignyi,,54,14
Dark-winged Canastero,Asthenes arequipae,,18,0
Pale-tailed Canastero,Asthenes huancavelicae,,27,0
Berlepsch's Canastero,Asthenes berlepschi,,10,0
Short-billed Canastero,Asthenes baeri,,45,4
Cipo Canastero,Asthenes luizae,,10,0
Hudson's Canastero,Asthenes hudsoni,,16,0
Austral Canastero,Asthenes anthoides,,19,0
Line-fronted Canastero,Asthenes urubambensis,,15,1
Many-striped Canastero,Asthenes flammulata,,60,7
Junin Canastero,Asthenes virgata,,16,0
Scribble-tailed Canastero,Asthenes maculicauda,,20,2
Streak-backed Canastero,Asthenes wyatti,,41,3
Puna Canastero,Asthenes sclateri,,20,0
Streak-throated Canastero,Asthenes humilis,,5,0
Cordilleran Canastero,Asthenes modesta,,68,7
Itatiaia Spinetail,Asthenes moreirae,,60,4
Sharp-billed Canastero,Asthenes pyrrholeuca,,45,3
Black-throated Thistletail,Asthenes harterti,,42,12
Puna Thistletail,Asthenes helleri,,24,2
Vilcabamba Thistletail,Asthenes vilcabambae,,5,0
Ayacucho Thistletail,Asthenes ayacuchensis,,1,0
Canyon Canastero,Asthenes pudibunda,,17,1
Rusty-fronted Canastero,Asthenes ottonis,,37,3
Maquis Canastero,Asthenes heterura,,17,5
Eye-ringed Thistletail,Asthenes palpebralis,,35,0
Ochre-browed Thistletail,Asthenes coryi,,14,0
Perija Thistletail,Asthenes perijana,,18,0
White-chinned Thistletail,Asthenes fuliginosa,,101,8
Mouse-colored Thistletail,Asthenes griseomurina,,52,7
Pink-legged Graveteiro,Acrobatornis fonsecai,,18,1
Orange-fronted Plushcrown,Metopothrix aurantiaca,,25,1
Double-banded Greytail,Xenerpestes minlosi,,10,0
Equatorial Greytail,Xenerpestes singularis,,19,0
Spectacled Prickletail,Siptornis striaticollis,,3,0
Roraiman Barbtail,Roraimia adusta,,9,0
Striated Softtail,Thripophaga macroura,,33,12
Orinoco Softtail,Thripophaga cherriei,,15,1
Delta Amacuro Softtail,Thripophaga amacurensis,,4,0
Plain Softtail,Thripophaga fusciceps,,36,40
Russet-mantled Softtail,Thripophaga berlepschi,,16,3
Straight-billed Reedhaunter,Limnoctites rectirostris,,38,1
Sulphur-bearded Reedhaunter,Limnoctites sulphuriferus,,18,1
Marcapata Spinetail,Cranioleuca marcapatae,,32,1
Light-crowned Spinetail,Cranioleuca albiceps,,22,2
Rusty-backed Spinetail,Cranioleuca vulpina,,107,31
Coiba Spinetail,Cranioleuca dissita,,14,0
Parker's Spinetail,Cranioleuca vulpecula,,20,8
Crested Spinetail,Cranioleuca subcristata,,28,0
Stripe-crowned Spinetail,Cranioleuca pyrrhophia,,84,56
Bolivian Spinetail,Cranioleuca henricae,,16,2
Olive Spinetail,Cranioleuca obsoleta,,70,10
Pallid Spinetail,Cranioleuca pallida,,82,63
Grey-headed Spinetail,Cranioleuca semicinerea,,52,32
Creamy-crested Spinetail,Cranioleuca albicapilla,,44,4
Red-faced Spinetail,Cranioleuca erythrops,,97,29
Tepui Spinetail,Cranioleuca demissa,,17,1
Streak-capped Spinetail,Cranioleuca hellmayri,,45,2
Ash-browed Spinetail,Cranioleuca curtata,,71,27
Line-cheeked Spinetail,Cranioleuca antisiensis,,79,29
Speckled Spinetail,Cranioleuca gutturata,,59,6
Scaled Spinetail,Cranioleuca muelleri,,5,0
Dusky-tailed Canastero,Pseudasthenes humicola,,43,12
Patagonian Canastero,Pseudasthenes patagonica,,6,0
Steinbach's Canastero,Pseudasthenes steinbachi,,12,1
Cactus Canastero,Pseudasthenes cactorum,,12,0
Bay-capped Wren-Spinetail,Spartonoica maluroides,,43,1
Caatinga Cacholote,Pseudoseisura cristata,,22,6
Grey-crested Cacholote,Pseudoseisura unirufa,,23,30
Brown Cacholote,Pseudoseisura lophotes,,55,12
White-throated Cacholote,Pseudoseisura gutturalis,,20,0
Yellow-chinned Spinetail,Certhiaxis cinnamomeus,,234,123
Red-and-white Spinetail,Certhiaxis mustelinus,,19,5
White-bellied Spinetail,Mazaria propinqua,,49,11
Chotoy Spinetail,Schoeniophylax phryganophilus,,52,21
Ochre-cheeked Spinetail,Synallaxis scutata,,138,28
Grey-bellied Spinetail,Synallaxis cinerascens,,114,20
Plain-crowned Spinetail,Synallaxis gujanensis,,165,77
White-lored Spinetail,Synallaxis albilora,,68,20
Maranon Spinetail,Synallaxis maranonica,,44,0
Great Spinetail,Synallaxis hypochondriaca,,25,1
Chinchipe Spinetail,Synallaxis chinchipensis,,15,0
Necklaced Spinetail,Synallaxis stictothorax,,51,28
Russet-bellied Spinetail,Synallaxis zimmeri,,13,0
Slaty Spinetail,Synallaxis brachyura,,119,77
Silvery-throated Spinetail,Synallaxis subpudica,,46,7
Red-shouldered Spinetail,Synallaxis hellmayri,,37,1
Rufous-capped Spinetail,Synallaxis ruficapilla,,167,111
Bahia Spinetail,Synallaxis cinerea,,49,13
Pinto's Spinetail,Synallaxis infuscata,,40,8
Dusky Spinetail,Synallaxis moesta,,39,7
McConnell's Spinetail,Synallaxis macconnelli,,30,3
Cabanis's Spinetail,Synallaxis cabanisi,,32,4
Cinereous-breasted Spinetail,Synallaxis hypospodia,,62,8
Spix's Spinetail,Synallaxis spixi,,162,81
Dark-breasted Spinetail,Synallaxis albigularis,,93,74
Rio Orinoco Spinetail,Synallaxis beverlyae,,0,0
Pale-breasted Spinetail,Synallaxis albescens,,284,97
Sooty-fronted Spinetail,Synallaxis frontalis,,260,146
Azara's Spinetail,Synallaxis azarae,,393,377
Apurimac Spinetail,Synallaxis courseni,,20,1
White-whiskered Spinetail,Synallaxis candei,,43,1
Rufous-breasted Spinetail,Synallaxis erythrothorax,,37,3
Hoary-throated Spinetail,Synallaxis kollari,,18,2
Blackish-headed Spinetail,Synallaxis tithys,,39,12
Rusty-headed Spinetail,Synallaxis fuscorufa,,48,14
Rufous Spinetail,Synallaxis unirufa,,158,55
Black-throated Spinetail,Synallaxis castanea,,5,0
Stripe-breasted Spinetail,Synallaxis cinnamomea,,73,11
Ruddy Spinetail,Synallaxis rutilans,,106,16
Chestnut-throated Spinetail,Synallaxis cherriei,,56,3
Rufous-rumped Antwren,Euchrepomis callinota,,28,3
Chestnut-shouldered Antwren,Euchrepomis humeralis,,30,11
Yellow-rumped Antwren,Euchrepomis sharpei,,8,1
Ash-winged Antwren,Euchrepomis spodioptila,,39,17
Wing-banded Antbird,Myrmornis torquata,,45,1
Spot-winged Antshrike,Pygiptila stellaris,,110,146
Russet Antshrike,Thamnistes anabatinus,,56,14
Rufescent Antshrike,Thamnistes rufescens,,6,0
Dot-winged Antwren,Microrhopias quixensis,,224,112
Black Bushbird,Neoctantes niger,,39,2
Recurve-billed Bushbird,Clytoctantes alixii,,37,5
Rondonia Bushbird,Clytoctantes atrogularis,,11,0
Checker-throated Stipplethroat,Epinecrophylla fulviventris,,94,26
Brown-bellied Stipplethroat,Epinecrophylla gutturalis,,29,5
White-eyed Stipplethroat,Epinecrophylla leucophthalma,,88,26
Rufous-backed Stipplethroat,Epinecrophylla haematonota,,86,4
Rio Madeira Stipplethroat,Epinecrophylla amazonica,,36,43
Foothill Stipplethroat,Epinecrophylla spodionota,,47,3
Ornate Stipplethroat,Epinecrophylla ornata,,99,44
Rufous-tailed Stipplethroat,Epinecrophylla erythrura,,23,5
Stripe-backed Antbird,Myrmorchilus strigilatus,,118,127
Yapacana Antbird,Aprositornis disjuncta,,16,0
Grey-bellied Antbird,Ammonastes pelzelni,,26,0
Black-throated Antbird,Myrmophylax atrothorax,,259,86
Moustached Antwren,Myrmotherula ignota,,65,44
Pygmy Antwren,Myrmotherula brachyura,,172,272
Guianan Streaked Antwren,Myrmotherula surinamensis,,27,6
Amazonian Streaked Antwren,Myrmotherula multostriata,,115,43
Pacific Antwren,Myrmotherula pacifica,,58,61
Cherrie's Antwren,Myrmotherula cherriei,,58,4
Klages's Antwren,Myrmotherula klagesi,,20,9
Stripe-chested Antwren,Myrmotherula longicauda,,47,36
Yellow-throated Antwren,Myrmotherula ambigua,,42,7
Sclater's Antwren,Myrmotherula sclateri,,71,126
White-flanked Antwren,Myrmotherula axillaris,,283,204
Silvery-flanked Antwren,Myrmotherula luctuosa,,95,43
Slaty Antwren,Myrmotherula schisticolor,,64,29
Rio Suno Antwren,Myrmotherula sunensis,,13,1
Salvadori's Antwren,Myrmotherula minor,,28,2
Long-winged Antwren,Myrmotherula longipennis,,95,73
Band-tailed Antwren,Myrmotherula urosticta,,22,2
Ihering's Antwren,Myrmotherula iheringi,,33,11
Rio de Janeiro Antwren,Myrmotherula fluminensis,,0,0
Yungas Antwren,Myrmotherula grisea,,4,2
Unicolored Antwren,Myrmotherula unicolor,,78,18
Alagoas Antwren,Myrmotherula snowi,,29,1
Plain-winged Antwren,Myrmotherula behni,,12,0
Grey Antwren,Myrmotherula menetriesii,,137,122
Leaden Antwren,Myrmotherula assimilis,,35,10
Streak-capped Antwren,Terenura maculata,,97,73
Orange-bellied Antwren,Terenura sicki,,29,3
Black-and-white Antbird,Myrmochanes hemileucus,,36,10
Narrow-billed Antwren,Formicivora iheringi,,34,16
Black-hooded Antwren,Formicivora erythronotos,,48,4
Southern White-fringed Antwren,Formicivora grisea,,146,93
Northern White-fringed Antwren,Formicivora intermedia,,124,23
Serra Antwren,Formicivora serrana,,80,7
Black-bellied Antwren,Formicivora melanogaster,,83,23
Rusty-backed Antwren,Formicivora rufa,,144,14
Sincora Antwren,Formicivora grantsaui,,17,0
Marsh Antwren,Formicivora acutirostris,,47,0
Banded Antbird,Dichrozona cincta,,81,6
Star-throated Antwren,Rhopias gularis,,143,45
Plain-throated Antwren,Isleria hauxwelli,,122,33
Rufous-bellied Antwren,Isleria guttata,,37,0
Dusky-throated Antshrike,Thamnomanes ardesiacus,,124,132
Saturnine Antshrike,Thamnomanes saturninus,,62,19
Cinereous Antshrike,Thamnomanes caesius,,200,184
Bluish-slate Antshrike,Thamnomanes schistogynus,,74,109
Pearly Antshrike,Megastictus margaritatus,,54,1
Bahia Antwren,Herpsilochmus pileatus,,37,9
Caatinga Antwren,Herpsilochmus sellowi,,51,12
Black-capped Antwren,Herpsilochmus atricapillus,,147,276
Aripuana Antwren,Herpsilochmus stotzi,,5,1
Predicted Antwren,Herpsilochmus praedictus,,13,2
Creamy-bellied Antwren,Herpsilochmus motacilloides,,13,3
Ash-throated Antwren,Herpsilochmus parkeri,,22,1
Spot-tailed Antwren,Herpsilochmus sticturus,,17,8
Dugand's Antwren,Herpsilochmus dugandi,,45,39
Todd's Antwren,Herpsilochmus stictocephalus,,30,42
Spot-backed Antwren,Herpsilochmus dorsimaculatus,,96,36
Roraiman Antwren,Herpsilochmus roraimae,,23,0
Pectoral Antwren,Herpsilochmus pectoralis,,34,6
Large-billed Antwren,Herpsilochmus longirostris,,78,40
Ancient Antwren,Herpsilochmus gentryi,,22,16
Yellow-breasted Antwren,Herpsilochmus axillaris,,54,11
Rusty-winged Antwren,Herpsilochmus frater,,57,0
Rufous-margined Antwren,Herpsilochmus rufimarginatus,,245,411
Spot-breasted Antvireo,Dysithamnus stictothorax,,123,175
Plain Antvireo,Dysithamnus mentalis,,443,464
Streak-crowned Antvireo,Dysithamnus striaticeps,,14,5
Spot-crowned Antvireo,Dysithamnus puncticeps,,66,33
Rufous-backed Antvireo,Dysithamnus xanthopterus,,68,23
Bicolored Antvireo,Dysithamnus occidentalis,,55,1
Plumbeous Antvireo,Dysithamnus plumbeus,,24,4
White-streaked Antvireo,Dysithamnus leucostictus,,30,14
Collared Antshrike,Thamnophilus bernardi,,76,54
Black-backed Antshrike,Thamnophilus melanonotus,,39,1
Band-tailed Antshrike,Thamnophilus melanothorax,,15,1
Barred Antshrike,Thamnophilus doliatus,,421,504
Chapman's Antshrike,Thamnophilus zarumae,,25,5
Bar-crested Antshrike,Thamnophilus multistriatus,,103,69
Lined Antshrike,Thamnophilus tenuepunctatus,,76,46
Chestnut-backed Antshrike,Thamnophilus palliatus,,139,197
Black-hooded Antshrike,Thamnophilus bridgesi,,56,24
Black Antshrike,Thamnophilus nigriceps,,36,9
Cocha Antshrike,Thamnophilus praecox,,37,3
Blackish-grey Antshrike,Thamnophilus nigrocinereus,,53,12
Castelnau's Antshrike,Thamnophilus cryptoleucus,,36,8
White-shouldered Antshrike,Thamnophilus aethiops,,192,118
Uniform Antshrike,Thamnophilus unicolor,,137,38
Plain-winged Antshrike,Thamnophilus schistaceus,,152,442
Mouse-colored Antshrike,Thamnophilus murinus,,161,126
Upland Antshrike,Thamnophilus aroyae,,12,7
Black-crowned Antshrike,Thamnophilus atrinucha,,211,207
Northern Slaty Antshrike,Thamnophilus punctatus,,140,43
Natterer's Slaty Antshrike,Thamnophilus stictocephalus,,70,28
Bolivian Slaty Antshrike,Thamnophilus sticturus,,30,42
Planalto Slaty Antshrike,Thamnophilus pelzelni,,108,178
Sooretama Slaty Antshrike,Thamnophilus ambiguus,,101,55
Amazonian Antshrike,Thamnophilus amazonicus,,134,61
Acre Antshrike,Thamnophilus divisorius,,9,0
Streak-backed Antshrike,Thamnophilus insignis,,16,0
Variable Antshrike,Thamnophilus caerulescens,,282,248
Rufous-winged Antshrike,Thamnophilus torquatus,,65,15
Rufous-capped Antshrike,Thamnophilus ruficapillus,,134,27
Black-crested Antshrike,Sakesphorus canadensis,,157,49
Silvery-cheeked Antshrike,Sakesphorus cristatus,,53,45
Glossy Antshrike,Sakesphorus luctuosus,,66,66
White-bearded Antshrike,Biatas nigropectus,,90,29
Fasciated Antshrike,Cymbilaimus lineatus,,206,322
Bamboo Antshrike,Cymbilaimus sanctaemariae,,50,73
Great Antshrike,Taraba major,,430,358
Large-tailed Antshrike,Mackenziaena leachii,,90,17
Tufted Antshrike,Mackenziaena severa,,195,95
Black-throated Antshrike,Frederickena viridis,,30,8
Undulated Antshrike,Frederickena unduliger,,16,0
Fulvous Antshrike,Frederickena fulva,,58,9
Spot-backed Antshrike,Hypoedaleus guttatus,,163,120
Giant Antshrike,Batara cinerea,,188,69
Speckled Antshrike,Xenornis setifrons,,15,1
White-plumed Antbird,Pithys albifrons,,69,15
White-masked Antbird,Pithys castaneus,,21,1
Ocellated Antbird,Phaenostictus mcleannani,,63,12
Bicolored Antbird,Gymnopithys bicolor,,87,67
White-cheeked Antbird,Gymnopithys leucaspis,,55,19
